Lleo,Lleopard,Tigre,Gat_domestic,Gat_salvatge_europeu,Gat_salvatge_africa,Puma,Gat_america_semblant_guepard,Guepard,Gat_desert_xines,Dents_de_sabre,Hiena_tacada,Hiena_ratllada,Dents_de_cimitarra,Gos_domestic,Llop_gris,Os_bru,Os_cavernes,Os_negre0
0.0736842105263158,0
0.09824561403508769,0.11929824561403513,0
0.15087719298245617,0.13684210526315788,0.1228070175438597,0
0.14385964912280702,0.13684210526315788,0.11578947368421055,0.01403508771929829,0
0.14035087719298245,0.1333333333333333,0.11228070175438598,0.01754385964912286,0.010526315789473717,0
0.13684210526315788,0.15087719298245617,0.11578947368421055,0.14385964912280702,0.12982456140350873,0.12631578947368416,0
0.14385964912280702,0.14385964912280702,0.11578947368421055,0.11929824561403513,0.11228070175438598,0.10175438596491226,0.05964912280701751,0
0.1333333333333333,0.16140350877192977,0.12631578947368416,0.11578947368421055,0.10877192982456141,0.10526315789473684,0.09122807017543855,0.08070175438596494,0
0.12982456140350873,0.13684210526315788,0.12631578947368416,0.10877192982456141,0.10175438596491226,0.09824561403508769,0.11929824561403513,0.09473684210526312,0.11929824561403513,0
0.13684210526315788,0.12982456140350873,0.12631578947368416,0.1473684210526316,0.1473684210526316,0.14385964912280702,0.16491228070175434,0.14385964912280702,0.15438596491228074,0.1228070175438597,0
0.17543859649122806,0.17543859649122806,0.1578947368421053,0.16140350877192977,0.1578947368421053,0.16491228070175434,0.18596491228070178,0.16491228070175434,0.16842105263157892,0.1333333333333333,0.1333333333333333,0
0.18596491228070178,0.18596491228070178,0.1824561403508772,0.16842105263157892,0.16491228070175434,0.1578947368421053,0.18947368421052635,0.1578947368421053,0.1473684210526316,0.15087719298245617,0.16842105263157892,0.1228070175438597,0
0.19649122807017538,0.1824561403508772,0.17894736842105263,0.17894736842105263,0.18596491228070178,0.18947368421052635,0.18596491228070178,0.16491228070175434,0.1824561403508772,0.16491228070175434,0.14385964912280702,0.16140350877192977,0.18596491228070178,0
0.21403508771929824,0.19649122807017538,0.2210526315789474,0.19999999999999996,0.21052631578947367,0.21403508771929824,0.2210526315789474,0.21403508771929824,0.20350877192982453,0.21403508771929824,0.2070175438596491,0.21403508771929824,0.2210526315789474,0.21754385964912282,0
0.21403508771929824,0.19649122807017538,0.2210526315789474,0.19999999999999996,0.21052631578947367,0.21403508771929824,0.2210526315789474,0.21403508771929824,0.20350877192982453,0.21403508771929824,0.2070175438596491,0.21403508771929824,0.2210526315789474,0.21754385964912282,0.0,0
0.18947368421052635,0.2070175438596491,0.20350877192982453,0.22456140350877196,0.23508771929824557,0.2315789473684211,0.19649122807017538,0.21754385964912282,0.2210526315789474,0.2070175438596491,0.20350877192982453,0.22456140350877196,0.21403508771929824,0.21754385964912282,0.17543859649122806,0.17543859649122806,0
0.19649122807017538,0.2070175438596491,0.17543859649122806,0.19999999999999996,0.21052631578947367,0.2070175438596491,0.1824561403508772,0.18947368421052635,0.19999999999999996,0.19999999999999996,0.20350877192982453,0.19999999999999996,0.19999999999999996,0.18947368421052635,0.1719298245614035,0.1719298245614035,0.06666666666666665,0
0.19298245614035092,0.20350877192982453,0.21403508771929824,0.21052631578947367,0.2210526315789474,0.21052631578947367,0.19999999999999996,0.2070175438596491,0.21052631578947367,0.20350877192982453,0.2070175438596491,0.21403508771929824,0.21403508771929824,0.22807017543859653,0.19298245614035092,0.19298245614035092,0.11578947368421055,0.09473684210526312,0
