Lleo,Lleopard,Tigre,Gat_domestic,Gat_salvatge_europeu,Gat_salvatge_africa,Puma,Gat_america_semblant_guepard,Guepard,Gat_desert_xines,Dents_de_sabre,Hiena_tacada,Hiena_ratllada,Dents_de_cimitarra,Gos_domestic,Llop_gris,Os_bru,Os_cavernes,Os_negre0
0.042636648174114486,0
0.05740505784175078,0.07029935824703044,0
0.09006624177605231,0.08121658157768599,0.07247012676680382,0
0.0856283590049859,0.08121658157768599,0.06813485458017923,0.007936581997902729,0
0.08341922633266828,0.07902038674336971,0.06597657970946787,0.009933920062515509,0.005944548954315537,0
0.08121658157768599,0.09006624177605231,0.06813485458017923,0.0856283590049859,0.07683060416586862,0.0746471965102748,0
0.0856283590049859,0.0856283590049859,0.06813485458017923,0.07029935824703044,0.06597657970946787,0.059538771940924246,0.034326313841685524,0
0.07902038674336971,0.09677269480779821,0.0746471965102748,0.06813485458017923,0.06382449788850324,0.06167857367772909,0.05315575468999274,0.04682660320559434,0
0.07683060416586862,0.08121658157768599,0.0746471965102748,0.06382449788850324,0.059538771940924246,0.05740505784175078,0.07029935824703044,0.05527739684035102,0.07029935824703044,0
0.08121658157768599,0.07683060416586862,0.0746471965102748,0.08784401792805951,0.08784401792805951,0.0856283590049859,0.09902157205499068,0.0856283590049859,0.09229506956792044,0.07247012676680382,0
0.10580894869492911,0.10580894869492911,0.09453054067152379,0.09677269480779821,0.09453054067152379,0.09902157205499068,0.11265831136738354,0.09902157205499068,0.10127721285295715,0.07902038674336971,0.07902038674336971,0
0.11265831136738354,0.11265831136738354,0.11036823325221577,0.10127721285295715,0.09902157205499068,0.09453054067152379,0.11495540351529285,0.09453054067152379,0.08784401792805951,0.09006624177605231,0.10127721285295715,0.07247012676680382,0
0.11957080269607656,0.11036823325221577,0.10808512646629465,0.10808512646629465,0.11265831136738354,0.11495540351529285,0.11265831136738354,0.09902157205499068,0.11036823325221577,0.09902157205499068,0.0856283590049859,0.09677269480779821,0.11265831136738354,0
0.13123511245169012,0.11957080269607656,0.13595210913236308,0.1218891971233311,0.12888769269499445,0.13123511245169012,0.13595210913236308,0.13123511245169012,0.12421478038201739,0.13123511245169012,0.1265475971928116,0.13123511245169012,0.13595210913236308,0.13358990245519103,0
0.13123511245169012,0.11957080269607656,0.13595210913236308,0.1218891971233311,0.12888769269499445,0.13123511245169012,0.13595210913236308,0.13123511245169012,0.12421478038201739,0.13123511245169012,0.1265475971928116,0.13123511245169012,0.13595210913236308,0.13358990245519103,-0.0,0
0.11495540351529285,0.1265475971928116,0.12421478038201739,0.13832177935013956,0.1454760466352087,0.14308370010913365,0.11957080269607656,0.13358990245519103,0.13595210913236308,0.1265475971928116,0.12421478038201739,0.13832177935013956,0.13123511245169012,0.13358990245519103,0.10580894869492911,0.10580894869492911,0
0.11957080269607656,0.1265475971928116,0.10580894869492911,0.1218891971233311,0.12888769269499445,0.1265475971928116,0.11036823325221577,0.11495540351529285,0.1218891971233311,0.1218891971233311,0.12421478038201739,0.1218891971233311,0.1218891971233311,0.11495540351529285,0.10353965800752638,0.10353965800752638,0.03846997079066293,0
0.11725955279302049,0.12421478038201739,0.13123511245169012,0.12888769269499445,0.13595210913236308,0.12888769269499445,0.1218891971233311,0.1265475971928116,0.12888769269499445,0.12421478038201739,0.1265475971928116,0.13123511245169012,0.13123511245169012,0.14069896042109878,0.11725955279302049,0.11725955279302049,0.06813485458017923,0.05527739684035102,0
